Days_Count,population,Area,Density,count
1,10,5.0,2.0,0
3,10,5.0,2.0,44
4,10,5.0,2.0,70
5,9,5.0,1.8,103
6,9,5.0,1.8,129
7,9,5.0,1.8,145
8,8,5.0,1.6,161
9,8,5.0,1.6,187
10,7,5.0,1.4,205
11,6,5.0,1.2,222
12,6,5.0,1.2,240
13,6,5.0,1.2,264
14,5,5.0,1.0,283
15,5,5.0,1.0,316
16,4,5.0,0.8,432
17,4,5.0,0.8,444
18,3,5.0,0.6,452
19,3,5.0,0.6,462
20,2,5.0,0.4,469
21,2,5.0,0.4,479
22,2,5.0,0.4,490
23,1,5.0,0.2,496
24,1,5.0,0.2,500
25,1,5.0,0.2,500
2,10,5.0,2.0,8
3,10,5.0,2.0,53
4,10,5.0,2.0,78
5,10,5.0,2.0,114
6,9,5.0,1.8,140
7,9,5.0,1.8,155
8,8,5.0,1.6,170
9,7,5.0,1.4,193
10,7,5.0,1.4,210
11,6,5.0,1.2,228
12,6,5.0,1.2,249
13,6,5.0,1.2,272
14,5,5.0,1.0,290
15,5,5.0,1.0,320
16,4,5.0,0.8,336
17,4,5.0,0.8,347
18,3,5.0,0.6,357
19,3,5.0,0.6,366
20,2,5.0,0.4,372
21,2,5.0,0.4,383
22,1,5.0,0.2,395
23,1,5.0,0.2,399
24,1,5.0,0.2,402
25,1,5.0,0.2,404
1,10,5.0,2.0,0
2,10,5.0,2.0,0
3,10,5.0,2.0,39
4,9,5.0,1.8,61
5,9,5.0,1.8,96
6,8,5.0,1.6,122
7,8,5.0,1.6,137
8,8,5.0,1.6,152
9,7,5.0,1.4,174
10,6,5.0,1.2,190
11,5,5.0,1.0,206
12,5,5.0,1.0,227
13,5,5.0,1.0,247
14,5,5.0,1.0,269
15,4,5.0,0.8,302
16,3,5.0,0.6,317
1,10,5.0,2.0,0
2,9,5.0,1.8,42
3,9,5.0,1.8,60
4,8,5.0,1.6,90
5,8,5.0,1.6,112
6,8,5.0,1.6,125
7,7,5.0,1.4,137
8,5,5.0,1.0,153
9,5,5.0,1.0,165
10,5,5.0,1.0,179
11,5,5.0,1.0,198
12,5,5.0,1.0,218
13,5,5.0,1.0,237
14,4,5.0,0.8,267
15,3,5.0,0.6,280
16,3,5.0,0.6,289
17,3,5.0,0.6,299
1,10,5.0,2.0,0
2,10,5.0,2.0,28
3,10,5.0,2.0,42
4,8,5.0,1.6,57
5,7,5.0,1.4,68
6,7,5.0,1.4,79
